State_A,State_B,Driving_Distance_m,Driving_Time_s,Flight_Distance_m,Flight_Time_s
Hawaii,Mississippi,,,6736195.602435221,28529.769610313877
Hawaii,Missouri,,,6481455.646447626,27450.870973189947
Hawaii,Montana,,,4984492.266611836,21110.790776238362
Hawaii,Nebraska,,,6083899.7334755445,25767.10475354348
Hawaii,Nevada,,,4097826.279048717,17355.499534794566
Hawaii,New Hampshire,,,8124492.8764200425,34409.61688836724
Hawaii,New Jersey,,,7930298.303534734,33587.14575614711
Hawaii,New Mexico,,,5246255.550215976,22219.43527150296
Hawaii,New York,,,7953528.904439188,33685.53418350715
Hawaii,North Carolina,,,7693117.684686709,32582.616076320184
Hawaii,North Dakota,,,5821763.075426519,24656.878907688788
Hawaii,Ohio,,,7260013.917235468,30748.294237703154
Hawaii,Oklahoma,,,6014127.518886735,25471.598903520287
Hawaii,Oregon,,,4124689.3345594765,17469.272475781312
Hawaii,Pennsylvania,,,7762428.1096977005,32876.166111660845
Hawaii,Rhode Island,,,8170169.599952471,34603.07124685753
Hawaii,South Carolina,,,7538744.217517579,31928.79903889798
Hawaii,South Dakota,,,5822379.2740743905,24659.488690197417
Hawaii,Tennessee,,,6969593.968449682,29518.280336963355
Hawaii,Texas,,,6047260.545770116,25611.92701737932
Hawaii,Utah,,,4813151.281786282,20385.11131109484
Hawaii,Vermont,,,8016236.2287617475,33951.11814534387
Hawaii,Virginia,,,7783759.981401203,32966.51286240509
Hawaii,Washington,,,4242397.976215417,17967.80319338294
Hawaii,West Virginia,,,7397642.657123149,31331.192430168634
Hawaii,Wisconsin,,,6695335.443730828,28356.714820507037
Hawaii,Wyoming,,,5412750.447888651,22924.590132234287
Idaho,Illinois,2594945.4,99403.4,2232228.4231777075,9454.143909929115
Idaho,Indiana,2926534.5,113060.5,2509520.0701255505,10628.555591119979
Idaho,Iowa,2193768.7,81971.0,1855981.7458778636,7860.628570776834
Idaho,Kansas,2168066.7,80903.5,1786304.5548642406,7565.525173542666
Idaho,Kentucky,3116756.9,120854.3,2683431.2315119267,11365.120509932867
Idaho,Louisiana,3243442.0,128063.0,2638951.767671858,11176.736898374927
Idaho,Maine,4556704.4,180956.8,3667450.195733708,15532.730240754528
Idaho,Maryland,3872491.8,151354.8,3322475.2486900724,14071.659876805012
Idaho,Massachusetts,4305804.0,170343.0,3635888.2671095356,15399.056190110974
Idaho,Michigan,3055748.7,117397.5,2551450.6052666884,10806.143739953033
Idaho,Minnesota,2361887.8,90532.6,1844902.037473861,7813.702746948116
Idaho,Mississippi,3273883.4,125924.7,2596343.776728952,10996.279524969677
Idaho,Missouri,2468326.8,93317.7,2083488.985527552,8824.188644587279
Idaho,Montana,886960.9,31934.2,474473.7070269338,2009.5357003493666
Idaho,Nebraska,1893723.1,70003.6,1627307.589219946,6892.126260225653
Idaho,Nevada,705083.7,29172.7,607467.7920574786,2572.804766361086
Idaho,New Hampshire,,,3569700.1898346334,15118.730215770212
Idaho,New Jersey,3962098.7,154388.5,3409973.3023405736,14442.239868736548
